filename	url	size_bytes	size_gb	file_type	likely_content	required_for_gex	required_for_bcr	download_decision	decision_reason	local_path	source_container	sha256
GSM9524776_P6_LN_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524776_P6_LN_barcodes.tsv.gz	6862	0.0	barcodes	barcodes	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524776_P6_LN_barcodes.tsv.gz	GSE319733_RAW.tar	db253317d9af91b2dee842c6e8782bbe9b2aba73a35e30871a87526ba6b2578b
GSM9524776_P6_LN_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524776_P6_LN_features.tsv.gz	146202	0.0001	features	features	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524776_P6_LN_features.tsv.gz	GSE319733_RAW.tar	324a6ae15eb32880094062ade25dffac02a9543bcf5830cd56367b06dba7a0b1
GSM9524776_P6_LN_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524776_P6_LN_matrix.mtx.gz	7034005	0.0066	matrix	matrix	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524776_P6_LN_matrix.mtx.gz	GSE319733_RAW.tar	a7e3b1db2f0764759945b82376198ea5d8d9c15fc26237194e91f1bd9c279ac1
GSM9524777_P1_LN_all_contig_annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524777_P1_LN_all_contig_annotations.csv.gz	836592	0.0008	vdj_contig	vdj_contig	False	True	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524777_P1_LN_all_contig_annotations.csv.gz	GSE319733_RAW.tar	436728fc46e2e3bdf78c6cfa8bfedf85e8394df3254c09a6accd81fb13f07741
GSM9524778_P2_LN_all_contig_annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524778_P2_LN_all_contig_annotations.csv.gz	941724	0.0009	vdj_contig	vdj_contig	False	True	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524778_P2_LN_all_contig_annotations.csv.gz	GSE319733_RAW.tar	a115c03acdaf7a036bfcac75b06768debc27a6b6df6bf7d3d1b2be80f45b0405
GSM9524779_P3_LN_all_contig_annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524779_P3_LN_all_contig_annotations.csv.gz	1367043	0.0013	vdj_contig	vdj_contig	False	True	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524779_P3_LN_all_contig_annotations.csv.gz	GSE319733_RAW.tar	6b81770ed32d383fa06025b50ba2e4294225966fb98b5cc451c45cea43b95560
GSM9524780_P4_LN_all_contig_annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524780_P4_LN_all_contig_annotations.csv.gz	1451381	0.0014	vdj_contig	vdj_contig	False	True	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524780_P4_LN_all_contig_annotations.csv.gz	GSE319733_RAW.tar	dc25d70b2acd4842080f92ea24cc05e36c141df6748f72932b0cd349281ac77b
GSM9524781_P5_LN_all_contig_annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524781_P5_LN_all_contig_annotations.csv.gz	2358181	0.0022	vdj_contig	vdj_contig	False	True	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524781_P5_LN_all_contig_annotations.csv.gz	GSE319733_RAW.tar	99ebf8d284036b036b10f555ce24f02b4aa76b04db3242e57e53a7b150f0ff45
GSM9524782_P6_LN_all_contig_annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524782_P6_LN_all_contig_annotations.csv.gz	539650	0.0005	vdj_contig	vdj_contig	False	True	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524782_P6_LN_all_contig_annotations.csv.gz	GSE319733_RAW.tar	3308fec3db514e3bb1dbab95e3c5343826f90f15925d193c186f9c95a38a740d
GSM9524783_GEO_Metadata_PT1.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524783_GEO_Metadata_PT1.csv.gz	134738	0.0001	metadata	metadata	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524783_GEO_Metadata_PT1.csv.gz	GSE319733_RAW.tar	92963700fa35f119a6538624eed29aadb02cd6dfeef604d7adf0f51158cea2f0
