gene	axis	source_dataset	source_module	evidence_type	evidence_status	direction	effect_size	statistic	p_value	fdr	sample_count	patient_count	cell_type	tissue	evidence_level	negative_evidence	result_path	analysis_code_sha	run_id
C1QB	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	endothelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QB	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	other	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QB	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	T_NK	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QB	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	epithelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QC	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	PT_gt_LN	-0.005878335145215		0.27490249691703	0.442239928118407	8	4	B_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QC	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	PT_gt_LN	-0.0071073205401563		0.422649730810374	0.483028263783285	8	4	plasma_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QC	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	PT_gt_LN	-0.0392156862745097		0.422649730810374	0.483028263783285	8	4	endothelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QC	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	other	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QC	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	T_NK	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QC	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	epithelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
RBMS1	RBMS1-NEDD4 perturbation validation	GSE338829	GSE338829_assay_classification	RNA-binding target evidence	INSUFFICIENT_DATA						4		ES2		metadata_assay_scope		D:\Ovarian_AI_Target_Factory\results\dataset_feasibility\20260727_000754_a879f8a\GSE338829\GSE338829_assay_classification.json	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
NEDD4	RBMS1-NEDD4 perturbation validation	GSE338829	GSE338829_assay_classification	RNA-binding target evidence	INSUFFICIENT_DATA						4		ES2		metadata_assay_scope		D:\Ovarian_AI_Target_Factory\results\dataset_feasibility\20260727_000754_a879f8a\GSE338829\GSE338829_assay_classification.json	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
