gene	patient_id	biological_sample_id	tissue	cell_type	mean_expression	detection_rate	cell_count
C1QB	P1	P1_PT	PT	other	0	0	35
C1QB	P1	P1_PT	PT	endothelial	0	0	34
C1QB	P1	P1_PT	PT	T_NK	0	0	22
C1QB	P1	P1_PT	PT	epithelial	0	0	11
C1QC	P1	P1_PT	PT	B_cell	0.0492113216546999	0.0194647201946472	4521
C1QC	P1	P1_PT	PT	plasma_cell	0.0763385505095076	0.0213219616204691	1876
C1QC	P1	P1_PT	PT	myeloid	2.97386712704645	0.854166666666667	144
C1QC	P1	P1_PT	PT	other	0	0	35
C1QC	P1	P1_PT	PT	endothelial	0.31892168867251	0.117647058823529	34
C1QC	P1	P1_PT	PT	T_NK	0.0464645672957246	0.0454545454545455	22
C1QC	P1	P1_PT	PT	epithelial	0	0	11
SPP1	P2	P2_LN	LN	B_cell			0
CD44	P2	P2_LN	LN	B_cell	0.950769767545586	0.618551822053952	2113
ITGB1	P2	P2_LN	LN	B_cell	0.428001005700492	0.292948414576432	2113
MMP14	P2	P2_LN	LN	B_cell	0	0	2113
CD209	P2	P2_LN	LN	B_cell			0
C1QA	P2	P2_LN	LN	B_cell	0	0	2113
C1QB	P2	P2_LN	LN	B_cell	0	0	2113
C1QC	P2	P2_LN	LN	B_cell	0	0	2113
SPP1	P2	P2_PT	PT	B_cell	0.0150278141761011	0.00555555555555556	720
SPP1	P2	P2_PT	PT	T_NK	0	0	19
SPP1	P2	P2_PT	PT	plasma_cell	0.0505295015642496	0.0156739811912226	319
SPP1	P2	P2_PT	PT	other	0	0	32
SPP1	P2	P2_PT	PT	myeloid	1.42465870225393	0.354430379746835	79
SPP1	P2	P2_PT	PT	endothelial	0	0	12
SPP1	P2	P2_PT	PT	epithelial	0	0	4
CD44	P2	P2_PT	PT	B_cell	1.01758928624077	0.433333333333333	720
CD44	P2	P2_PT	PT	T_NK	0.815034611909931	0.421052631578947	19
CD44	P2	P2_PT	PT	plasma_cell	0.496654111240864	0.19435736677116	319
CD44	P2	P2_PT	PT	other	0.367427339196941	0.125	32
CD44	P2	P2_PT	PT	myeloid	0.45527240424073	0.20253164556962	79
CD44	P2	P2_PT	PT	endothelial	0.927503282896975	0.416666666666667	12
CD44	P2	P2_PT	PT	epithelial	0.684416280410285	0.25	4
ITGB1	P2	P2_PT	PT	B_cell	0.851398106082912	0.363888888888889	720
ITGB1	P2	P2_PT	PT	T_NK	0.461874276662719	0.263157894736842	19
ITGB1	P2	P2_PT	PT	plasma_cell	0.286054331026747	0.137931034482759	319
ITGB1	P2	P2_PT	PT	other	0.307199665085447	0.09375	32
