axis	gene	patient_id	tissue	cell_type	evidence_status	direction	effect_size	p_value	fdr	detection_rate	mean_expression	sample_count	patient_count	evidence_level	result_path	reason
SPP1-CD44/ITGB1 immune niche	CD209	P1-P4	paired_LN_PT	T_NK	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD209	P1-P4	paired_LN_PT	epithelial	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QA	P1-P4	paired_LN_PT	B_cell	NEGATIVE	PT_gt_LN	-0.00638681918409991	0.135579836998949	0.433855478396637	0.00324674861487905		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QA	P1-P4	paired_LN_PT	plasma_cell	NEGATIVE	PT_gt_LN	-0.00543202355569094	0.235197088460783	0.442239928118407	0.00277583812933105		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QA	P1-P4	paired_LN_PT	endothelial	NEGATIVE	PT_gt_LN	-0.00980392156862747	0.422649730810374	0.483028263783285	0.00420168067226891		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QA	P1-P4	paired_LN_PT	other	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QA	P1-P4	paired_LN_PT	T_NK	NEGATIVE	LN_ge_PT	0			0.0120538720538721		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QA	P1-P4	paired_LN_PT	epithelial	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QB	P1-P4	paired_LN_PT	B_cell	NEGATIVE	PT_gt_LN	-0.0063576742882493	0.106181046964255	0.42472418785702	0.00351540664105959		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QB	P1-P4	paired_LN_PT	plasma_cell	NEGATIVE	PT_gt_LN	-0.00614275560970658	0.25438508615922	0.442239928118407	0.00308043758105203		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QB	P1-P4	paired_LN_PT	endothelial	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QB	P1-P4	paired_LN_PT	other	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QB	P1-P4	paired_LN_PT	T_NK	NEGATIVE	LN_ge_PT	0			0.00444444444444444		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QB	P1-P4	paired_LN_PT	epithelial	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QC	P1-P4	paired_LN_PT	B_cell	NEGATIVE	PT_gt_LN	-0.00587833514521505	0.27490249691703	0.442239928118407	0.00306238097822606		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QC	P1-P4	paired_LN_PT	plasma_cell	NEGATIVE	PT_gt_LN	-0.00710732054015637	0.422649730810374	0.483028263783285	0.00438947861931466		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QC	P1-P4	paired_LN_PT	endothelial	NEGATIVE	PT_gt_LN	-0.0392156862745097	0.422649730810374	0.483028263783285	0.0168067226890756		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QC	P1-P4	paired_LN_PT	other	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QC	P1-P4	paired_LN_PT	T_NK	NEGATIVE	LN_ge_PT	0			0.0164983164983165		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	C1QC	P1-P4	paired_LN_PT	epithelial	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
